Component,Quantity,Purchasing quantity,Price (HKD),Average Price(HKD),Link (Aliexpress)
Arduino nano,1,1,15.63,15.63,https://www.aliexpress.com/item/1005004904865598.html?spm=a2g0o.productlist.main.1.44c36f37lX4qNp&algo_pvid=06bf8630-aa57-4d48-9a60-f0ad27554303&algo_exp_id=06bf8630-aa57-4d48-9a60-f0ad27554303-0&pdp_ext_f=%7B%22order%22%3A%2213873%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2116.44%2115.65%21%21%212.09%211.99%21%402141115b17757983048285426e46d9%2112000030969396207%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=vkYqpu5df7i1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004904865598%7C_p_origin_prod%3A
Si4844,1,1,6.22,6.22,https://www.aliexpress.com/item/1005009167191304.html?spm=a2g0o.productlist.main.1.2f6a2f73KGuJVX&algo_pvid=3f5be1d1-8e8b-4876-92ae-6ace5c443433&algo_exp_id=3f5be1d1-8e8b-4876-92ae-6ace5c443433-0&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%215.18%215.18%21%21%214.50%214.50%21%402140c1e917758721393246750e508d%2112000048174722402%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=VBaIWKYVAlcq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009167191304%7C_p_origin_prod%3A
Speaker,2,2,14.69,14.69,https://www.aliexpress.com/item/32963121430.html?aff_fcid=d6dc040327a94c519a7feaa896da32ba-1775808539763-09574-_dZ3FfXt&aff_fsk=_dZ3FfXt&aff_platform=product&sk=_dZ3FfXt&aff_trace_key=d6dc040327a94c519a7feaa896da32ba-1775808539763-09574-_dZ3FfXt&terminal_id=e4366c93c9f14f779757a10c3d54e902&afSmartRedirect=y
Audio jack,1,10,13.21,1.32,https://www.aliexpress.com/item/1005008243857446.html?spm=a2g0o.productlist.main.31.76611f8fgY4xEL&algo_pvid=495075bb-fdbd-4744-9bce-a6fbf3b8f2b6&algo_exp_id=495075bb-fdbd-4744-9bce-a6fbf3b8f2b6-30&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2116.91%2113.21%21%21%212.15%211.68%21%40212e532617773036758855943e033b%2112000044353252933%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=lKPTrOS0Pi5D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008243857446%7C_p_origin_prod%3A
Audio amp,1,10,1.41,0.14,https://www.aliexpress.com/item/1005004049958533.html?spm=a2g0o.productlist.main.24.4de83525sbo4p6&aem_p4p_detail=202604221843567828161770319480000354322&algo_pvid=8aa7a736-980e-48c8-a9e9-57409185e045&algo_exp_id=8aa7a736-980e-48c8-a9e9-57409185e045-23&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%217.71%217.71%21%21%210.98%210.98%21%400b1bf20817769086365742100e9604%2112000027861612576%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=BbQga2S7KLyP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004049958533%7C_p_origin_prod%3A&search_p4p_id=202604221843567828161770319480000354322_6
Ferrite rod antenna,1,5,50.6,10.12,https://www.aliexpress.com/item/4000125449068.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.6ebf5b3dHpqlCm&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=3cc7e770-1166-495a-afe0-63dd83e9c4d8&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A3cc7e770-1166-495a-afe0-63dd83e9c4d8%2Ctpp_buckets%3A668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%22107%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21HKD%2155.06%2150.66%21%21%217.00%216.44%21%402102f22c17771250777904873e9960%2112000032400506769%21rec%21HK%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A4000125449068%7C_p_origin_prod%3A
FM antenna,1,1,8.73,8.73,https://www.aliexpress.com/item/1005004492932391.html?spm=a2g0o.productlist.main.22.62bf4c82zMDxTq&algo_pvid=596ed842-31e3-43bb-8724-01768aae9c7d&algo_exp_id=596ed842-31e3-43bb-8724-01768aae9c7d-21&pdp_ext_f=%7B%22order%22%3A%2263%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2110.93%218.73%21%21%211.39%211.11%21%402141122217771245502784862ee26a%2112000029348780002%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=ljO8rNIAne0f&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004492932391%7C_p_origin_prod%3A#nav-description
6mm tactile switch,2,20,7,0.70,https://www.aliexpress.com/item/33008621978.html?spm=a2g0o.productlist.main.1.76af4e87UtycBs&algo_pvid=0c2b72a2-0a18-4a54-905b-cf53e634cbaa&algo_exp_id=0c2b72a2-0a18-4a54-905b-cf53e634cbaa-0&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%217.47%217.00%21%21%210.95%210.89%21%40212e509017773035426461247e2c2a%2167098733068%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=k7zHfLOsFU2o&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33008621978%7C_p_origin_prod%3A
5mm LEDs,2,100,9.68,0.19,https://www.aliexpress.com/item/1005008232913389.html?spm=a2g0o.productlist.main.1.4ec2810cMHfT10&algo_pvid=d7392b3e-e033-45e5-bc08-6f8a188f9245&algo_exp_id=d7392b3e-e033-45e5-bc08-6f8a188f9245-0&pdp_ext_f=%7B%22order%22%3A%22250%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%215.74%215.11%21%21%210.73%210.65%21%40212e520d17773034845941608e9d0e%2112000044317240853%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=16FXfKzrMASL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008232913389%7C_p_origin_prod%3A
Toggle switch,1,1,3.85,3.85,https://www.aliexpress.com/item/4000177976189.html?spm=a2g0o.productlist.main.15.76fdsd4Vsd4VAj&algo_pvid=3662e10b-8cfa-4ae5-84e6-e8219572cb14&algo_exp_id=3662e10b-8cfa-4ae5-84e6-e8219572cb14-14&pdp_ext_f=%7B%22order%22%3A%22262%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%213.46%213.15%21%21%210.44%210.40%21%40213ba8cc17769143492125250e1176%2110000000641884137%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=18NpcsBhdBTf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000177976189%7C_p_origin_prod%3A
Variable resistor,1,10,3.22,0.32,https://www.aliexpress.com/item/1005003276146441.html?spm=a2g0o.productlist.main.1.b0d2fKuifKuiK9&algo_pvid=efee9f93-5e0b-4ac6-b6ca-8a5ca13049a0&algo_exp_id=efee9f93-5e0b-4ac6-b6ca-8a5ca13049a0-0&pdp_ext_f=%7B%22order%22%3A%22847%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%213.07%213.07%21%21%210.39%210.39%21%4021010c9a17769092959998535ea0ce%2112000024976797462%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=0bzzIlN6npLy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003276146441%7C_p_origin_prod%3A
OLED Display 0.96 inch,1,1,9.99,9.99,https://www.aliexpress.com/item/1005006385950490.html?spm=a2g0o.productlist.main.7.5696505bAlo8ob&algo_pvid=0eb145d8-c9f9-4614-8c2e-8672441551ba&algo_exp_id=0eb145d8-c9f9-4614-8c2e-8672441551ba-6&pdp_ext_f=%7B%22order%22%3A%22102%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2112.98%219.99%21%21%211.65%211.27%21%40210141f717766642618664592e6109%2112000036980844993%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=9HJrmzL4Pr96&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006385950490%7C_p_origin_prod%3A
Resistors,10,300,16.15,0.54,https://www.aliexpress.com/item/1005011772534173.html?spm=a2g0o.productlist.main.1.2cb06c69IBxElm&algo_pvid=5d3bc653-68d6-4169-96a0-6d8f2792ac90&algo_exp_id=5d3bc653-68d6-4169-96a0-6d8f2792ac90-0&pdp_ext_f=%7B%22order%22%3A%221606%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2113.84%2113.84%21%21%2112.00%2112.00%21%4021010d9017766642410964812ee7f4%2112000056500803485%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=68fhdKCqYf9S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011772534173%7C_p_origin_prod%3A
"Capacitors (0.1u, 22p, 100n, 0.47u, 1u)",12,500,40.2,0.96,https://www.aliexpress.com/item/1005002513813451.html?spm=a2g0o.productlist.main.3.a12452cdnfRTKt&algo_pvid=94b6fc4a-9892-4d80-8118-2edc4ce89e00&algo_exp_id=94b6fc4a-9892-4d80-8118-2edc4ce89e00-2&pdp_ext_f=%7B%22order%22%3A%221138%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%218.04%218.04%21%21%216.98%216.98%21%402141131717773031162641800e1852%2112000020956631572%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=eFP2b91R6ocB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002513813451%7C_p_origin_prod%3A
Rotary encoder,1,1,4.88,4.88,https://www.aliexpress.com/item/1005007644083514.html?spm=a2g0o.productlist.main.1.5adc34f1w0ufzV&algo_pvid=a506495b-617c-4ae1-983e-4d4aaa989ca1&algo_exp_id=a506495b-617c-4ae1-983e-4d4aaa989ca1-0&pdp_ext_f=%7B%22order%22%3A%222803%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%215.66%214.80%21%21%210.72%210.61%21%402151e6dc17769089048297694e8eab%2112000041630839409%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=689RurIsD01g&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007644083514%7C_p_origin_prod%3A
Crystal 32.768kHz,1,10,5.74,0.57,https://www.aliexpress.com/item/1005004765596465.html?spm=a2g0o.productlist.main.23.281a5025WBqslY&algo_pvid=faa7c053-abc0-4ee5-a40a-d95a466402a6&algo_exp_id=faa7c053-abc0-4ee5-a40a-d95a466402a6-22&pdp_ext_f=%7B%22order%22%3A%22482%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%217.63%215.74%21%21%210.97%210.73%21%402140c1c317769123132727126e1761%2112000030389268453%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=2FnkTeJsL6hJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004765596465%7C_p_origin_prod%3A#nav-specification
PCB (no shipping),1,5,54.6,10.92,
Total,,,211.2,89.78,